date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:10	184/184	---MCZ	200	added ('OK')	text/plain	etag:3E25C9BEB8FE7DD7A42525DDF73BC482-638962983644951835	https://lynkcolongbien.com/robots.txt		(from )
11:44:10	31422/31422	---M-Z	200	added ('OK')	text/html	etag:9CD08AF075BD56B1619C26ACAD759013-638962983647115483	https://lynkcolongbien.com/	D:/App/WinHTTrack/Output/subaru-v2/lynkcolongbien.com/index.html	(from )
11:44:11	2693/2693	---M--	200	added ('OK')	image/png	date:Thu,%2008%20May%202025%2002:58:08%20GMT	https://drive.gianhangvn.com/file/favicon-2816995j33900.png	D:/App/WinHTTrack/Output/subaru-v2/drive.gianhangvn.com/file/favicon-2816995j33900.png	(from https://lynkcolongbien.com/)
11:44:11	96979/96979	---M--	200	added ('OK')	image/jpg	date:Thu,%2008%20May%202025%2003:16:40%20GMT	https://drive.gianhangvn.com/image/lynkco-longbien-2817018j33900.jpg	D:/App/WinHTTrack/Output/subaru-v2/drive.gianhangvn.com/image/lynkco-longbien-2817018j33900.jpg	(from https://lynkcolongbien.com/)
11:44:11	354455/354455	---MCZ	200	added ('OK')	text/css	etag:%221d886a8f1f8a797%22	https://cloud.gianhangvn.com/css/library.min.css?v19	D:/App/WinHTTrack/Output/subaru-v2/cloud.gianhangvn.com/css/library.mine5a5.css	(from https://lynkcolongbien.com/)
11:44:12	47619/47619	---MCZ	200	added ('OK')	text/css	etag:%221dc32a8c7aadc03%22	https://cloud.gianhangvn.com/css/common.min.css?v19	D:/App/WinHTTrack/Output/subaru-v2/cloud.gianhangvn.com/css/common.mine5a5.css	(from https://lynkcolongbien.com/)
11:44:12	95188/95188	---MCZ	200	added ('OK')	text/css	etag:%221dbc3a7a56ff6d4%22	https://cloud.gianhangvn.com/templates/0022/skin03/css/style.css	D:/App/WinHTTrack/Output/subaru-v2/cloud.gianhangvn.com/templates/0022/skin03/css/style.css	(from https://lynkcolongbien.com/)
11:44:12	10757/10757	---M--	200	added ('OK')	image/jpg	date:Thu,%2008%20May%202025%2003:09:27%20GMT	https://drive.gianhangvn.com/image/logo-white-2817005j33900.jpg	D:/App/WinHTTrack/Output/subaru-v2/drive.gianhangvn.com/image/logo-white-2817005j33900.jpg	(from https://lynkcolongbien.com/)
11:44:13	20413/20413	---M-Z	200	added ('OK')	text/html	etag:D1FAFD09DFD110C5EBD7B6D8E758FA35-638962983675054304	https://lynkcolongbien.com/san-pham.html	D:/App/WinHTTrack/Output/subaru-v2/lynkcolongbien.com/san-pham.html	(from https://lynkcolongbien.com/)
11:44:14	60418/60418	---M-Z	200	added ('OK')	text/html	etag:5389FC03FA96C6A8E777E254FC365C78-638962983678646453	https://lynkcolongbien.com/lynk-co-06-1487816.html	D:/App/WinHTTrack/Output/subaru-v2/lynkcolongbien.com/lynk-co-06-1487816.html	(from https://lynkcolongbien.com/)
11:44:14	199460/199460	---M--	200	added ('OK')	image/jpg	date:Thu,%2008%20May%202025%2003:10:45%20GMT	https://drive.gianhangvn.com/image/lynk-co-06-2817012j33900.jpg	D:/App/WinHTTrack/Output/subaru-v2/drive.gianhangvn.com/image/lynk-co-06-2817012j33900.jpg	(from https://lynkcolongbien.com/)
11:44:14	59510/59510	---M-Z	200	added ('OK')	text/html	etag:249095773CAF0A3C68DBF153F2E42D39-638962983687729300	https://lynkcolongbien.com/lynk-co-01-1487817.html	D:/App/WinHTTrack/Output/subaru-v2/lynkcolongbien.com/lynk-co-01-1487817.html	(from https://lynkcolongbien.com/)
11:44:15	217691/217691	---M--	200	added ('OK')	image/jpg	date:Thu,%2008%20May%202025%2003:10:42%20GMT	https://drive.gianhangvn.com/image/lynk-co-01-2817009j33900.jpg	D:/App/WinHTTrack/Output/subaru-v2/drive.gianhangvn.com/image/lynk-co-01-2817009j33900.jpg	(from https://lynkcolongbien.com/)
11:44:15	57647/57647	---M-Z	200	added ('OK')	text/html	etag:5F5BE33D07D9366963D87195724BD006-638962983696320293	https://lynkcolongbien.com/lynk-co-03-1487818.html	D:/App/WinHTTrack/Output/subaru-v2/lynkcolongbien.com/lynk-co-03-1487818.html	(from https://lynkcolongbien.com/)
11:44:16	195892/195892	---M--	200	added ('OK')	image/jpg	date:Thu,%2008%20May%202025%2003:10:42%20GMT	https://drive.gianhangvn.com/image/lynk-co-03-2817010j33900.jpg	D:/App/WinHTTrack/Output/subaru-v2/drive.gianhangvn.com/image/lynk-co-03-2817010j33900.jpg	(from https://lynkcolongbien.com/)
11:44:16	60806/60806	---M-Z	200	added ('OK')	text/html	etag:74A7319AA328220C608E6C0D418CFEED-638962983704431237	https://lynkcolongbien.com/lynk-co-05-1487819.html	D:/App/WinHTTrack/Output/subaru-v2/lynkcolongbien.com/lynk-co-05-1487819.html	(from https://lynkcolongbien.com/)
11:44:16	167402/167402	---M--	200	added ('OK')	image/jpg	date:Thu,%2008%20May%202025%2003:10:45%20GMT	https://drive.gianhangvn.com/image/lynk-co-05-2817011j33900.jpg	D:/App/WinHTTrack/Output/subaru-v2/drive.gianhangvn.com/image/lynk-co-05-2817011j33900.jpg	(from https://lynkcolongbien.com/)
11:44:17	63406/63406	---M-Z	200	added ('OK')	text/html	etag:05E0F2BADE941D38B208DB3A6D9857A1-638962983713487204	https://lynkcolongbien.com/lynk-co-09-1487820.html	D:/App/WinHTTrack/Output/subaru-v2/lynkcolongbien.com/lynk-co-09-1487820.html	(from https://lynkcolongbien.com/)
